Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR1797969_1	(1, 32.10120930543145)	(2, 32.252504610336715)	(3, 32.334271619232915)	(4, 35.84410168371748)	(5, 35.907204192807846)	(6, 35.91994974200929)	(7, 35.89519511000499)	(8, 35.89910448893658)	(9, 37.57345884131343)	(10, 37.55392578768979)	(12, 37.56809956584647)	(14, 38.94126774929515)	(16, 38.98739347801211)	(18, 39.04046887101266)	(20, 39.07194837579511)	(22, 39.03438429064969)	(24, 39.015594623941794)	(26, 38.926175739959426)	(28, 38.9116090923335)	(30, 38.86146786366296)	(32, 38.84856782692832)	(34, 38.7752871262805)	(36, 38.77969748125562)	(38, 38.79532069329471)	(40, 38.754711272169175)	(42, 38.68143791613706)	(44, 38.50909874510012)	(46, 38.33943249369018)	(48, 38.10590174376984)	(50, 37.908789935817694)	(52, 37.717206637928726)	(54, 37.44997304660981)	(56, 37.18044163154874)	(58, 36.91139756354616)	(60, 36.5896798780817)	(62, 36.24594895287756)	(64, 35.96879523396514)	(66, 35.57628235447791)	(68, 35.09011415499059)	(70, 34.735993682936524)	(72, 34.36534159903965)	(74, 34.08375959735005)	(76, 33.80135249266618)	(78, 33.550556189818494)	(80, 33.34748184549797)	(82, 33.195378497926235)	(84, 33.068063517470236)	(86, 32.94201977239942)	(88, 32.84297238640404)	(90, 32.7222030392598)	(92, 32.56838430946425)	(94, 32.39914119273783)	(96, 32.27566453543012)	(98, 32.16516500440599)	(100, 31.999384710121706)
ERR1797969_2	(1, 31.189432790559167)	(2, 31.39202628423979)	(3, 31.511973766960473)	(4, 35.021958396087065)	(5, 34.97938133121294)	(6, 35.2367079805476)	(7, 35.31935834815622)	(8, 35.42291627276908)	(9, 37.14247737087279)	(10, 37.12232588518619)	(12, 37.1199298440767)	(14, 38.42380479777285)	(16, 38.46792797172019)	(18, 38.45225699076329)	(20, 38.43203874811045)	(22, 38.37738179525386)	(24, 38.470136888985806)	(26, 38.41322671984297)	(28, 38.3743882185733)	(30, 38.38885258134133)	(32, 38.33088463332132)	(34, 38.21846881302683)	(36, 38.19480868297816)	(38, 38.23807342364113)	(40, 38.172101367417085)	(42, 38.06649427574918)	(44, 37.93573925850919)	(46, 37.50002072299703)	(48, 37.45222207974224)	(50, 37.392873825902456)	(52, 37.21753556490388)	(54, 36.9359347486607)	(56, 36.57314319633357)	(58, 36.22597543436173)	(60, 35.78462691357119)	(62, 35.50823929012381)	(64, 35.22545909438459)	(66, 34.961003791903636)	(68, 34.60000295712348)	(70, 34.164604153358965)	(72, 33.898780458371874)	(74, 33.58040497786823)	(76, 33.205952816800846)	(78, 32.910693058756)	(80, 32.6950838458243)	(82, 32.53458203623437)	(84, 32.39565367619413)	(86, 32.20271231838173)	(88, 32.06433199004618)	(90, 31.917464177552635)	(92, 31.74389726050847)	(94, 31.570013137030713)	(96, 31.396470065891034)	(98, 31.182959099782213)	(100, 31.02694922630546)
ERR1797970_1	(1, 32.13034179883294)	(2, 32.28171716405638)	(3, 32.36550965331275)	(4, 35.86235549691789)	(5, 35.923750994016004)	(6, 35.93818868695273)	(7, 35.91367232877206)	(8, 35.917213278476915)	(9, 37.600096116372896)	(10, 37.58105884199294)	(12, 37.590429512532296)	(14, 38.96820269516317)	(16, 39.011046455746296)	(18, 39.060531369605755)	(20, 39.09784124879198)	(22, 39.06255082716399)	(24, 39.045998104705276)	(26, 38.965172964416666)	(28, 38.94700036193822)	(30, 38.89781248897103)	(32, 38.88916383636488)	(34, 38.81735660826345)	(36, 38.81612128759896)	(38, 38.83797542875036)	(40, 38.805141831722764)	(42, 38.73396664386406)	(44, 38.56928980513156)	(46, 38.415850209391024)	(48, 38.2087043325206)	(50, 38.02384466993412)	(52, 37.85568582786609)	(54, 37.59645777374956)	(56, 37.344793026907325)	(58, 37.09101490254325)	(60, 36.7641066546321)	(62, 36.42469484928878)	(64, 36.138613476266386)	(66, 35.746482797797434)	(68, 35.26175871186038)	(70, 34.90577822723863)	(72, 34.519976868243226)	(74, 34.221717363047304)	(76, 33.9423692235374)	(78, 33.68326535102375)	(80, 33.46704674559723)	(82, 33.30744002676241)	(84, 33.18368452729142)	(86, 33.0552136374115)	(88, 32.95359968957415)	(90, 32.83135036370285)	(92, 32.708414387719934)	(94, 32.59998588290773)	(96, 32.468405271682684)	(98, 32.315369909117464)	(100, 32.1495016591338)
ERR1797970_2	(1, 31.230720407233058)	(2, 31.422148253497923)	(3, 31.48714680048869)	(4, 35.0147967776986)	(5, 35.04854244776864)	(6, 35.22301345103584)	(7, 35.30914551042675)	(8, 35.42077217491077)	(9, 37.13418089702107)	(10, 37.117990544551816)	(12, 37.113890730702195)	(14, 38.43660791052767)	(16, 38.47101931788913)	(18, 38.45486831306003)	(20, 38.44611182989805)	(22, 38.39135012716646)	(24, 38.46621338660783)	(26, 38.41144849251231)	(28, 38.37519257065492)	(30, 38.385172810480285)	(32, 38.32908549025733)	(34, 38.22232760815157)	(36, 38.196681075361994)	(38, 38.23045473557109)	(40, 38.16935220568303)	(42, 38.0718809298358)	(44, 37.94471121535399)	(46, 37.536264594858224)	(48, 37.480382066336816)	(50, 37.419944654240126)	(52, 37.251605368700154)	(54, 36.98121343541693)	(56, 36.63190939680218)	(58, 36.30406268139149)	(60, 35.88081566006042)	(62, 35.60306669425006)	(64, 35.3211882912236)	(66, 35.04981326766382)	(68, 34.687394225057986)	(70, 34.23688298732691)	(72, 33.96276096909333)	(74, 33.62909831203129)	(76, 33.2428228289902)	(78, 32.943319273810765)	(80, 32.72972507713715)	(82, 32.563486441208696)	(84, 32.41682483316676)	(86, 32.2182137523006)	(88, 32.067913125817086)	(90, 31.908632282786385)	(92, 31.72698983419175)	(94, 31.546449945521537)	(96, 31.36519521010063)	(98, 31.14582115296095)	(100, 30.987737766000183)
ERR1797971_1	(1, 32.113074159128985)	(2, 32.26525382552419)	(3, 32.348647563539004)	(4, 35.84735075081634)	(5, 35.91488385477306)	(6, 35.92867915760506)	(7, 35.90353052731811)	(8, 35.907930733550614)	(9, 37.589061890214694)	(10, 37.563622763301844)	(12, 37.57754186358629)	(14, 38.95584098148417)	(16, 38.99516411221236)	(18, 39.047744852653686)	(20, 39.07797754514143)	(22, 39.04139664750849)	(24, 39.02421044263022)	(26, 38.94373548852455)	(28, 38.92261956568391)	(30, 38.87067025382281)	(32, 38.86802264356095)	(34, 38.79200825509519)	(36, 38.789796905896736)	(38, 38.81542181953642)	(40, 38.784962973949476)	(42, 38.70636734702748)	(44, 38.51315472888702)	(46, 38.3535375085817)	(48, 38.127430353519955)	(50, 37.93504570780867)	(52, 37.75699729967259)	(54, 37.47996761273201)	(56, 37.22081014168434)	(58, 36.95373175250723)	(60, 36.627110627946095)	(62, 36.28582367048581)	(64, 36.0060688459437)	(66, 35.612145225494814)	(68, 35.12598410010426)	(70, 34.770531208059225)	(72, 34.3956931670362)	(74, 34.09721493762227)	(76, 33.82100507377593)	(78, 33.55698503945093)	(80, 33.321974971400365)	(82, 33.138371234079145)	(84, 33.00976552914628)	(86, 32.8796341057273)	(88, 32.7765417590937)	(90, 32.650928363180725)	(92, 32.520459050225796)	(94, 32.40101113325919)	(96, 32.24586485541359)	(98, 32.044010030563626)	(100, 31.83422709805986)
ERR1797971_2	(1, 31.1301329627378)	(2, 31.23613780923783)	(3, 31.342611151948333)	(4, 34.93056715930302)	(5, 34.983916472576674)	(6, 35.182891539776996)	(7, 35.26107343401927)	(8, 35.36147936144709)	(9, 37.0621490375726)	(10, 37.04523148910262)	(12, 37.03891714897148)	(14, 38.338309715655214)	(16, 38.37742487535592)	(18, 38.3591990688751)	(20, 38.34293270659515)	(22, 38.28885236175876)	(24, 38.369368913691844)	(26, 38.310937530277045)	(28, 38.27656175212874)	(30, 38.281545414523166)	(32, 38.22233261854611)	(34, 38.1055681870247)	(36, 38.074678839237706)	(38, 38.10981572904946)	(40, 38.04352418532457)	(42, 37.93345274825455)	(44, 37.79356925114675)	(46, 37.360328331271546)	(48, 37.29596977357345)	(50, 37.226899813706204)	(52, 37.04630580687199)	(54, 36.75805350780878)	(56, 36.39021250386867)	(58, 36.038348289173896)	(60, 35.590834805193765)	(62, 35.30798471836714)	(64, 35.029113227402846)	(66, 34.75918831175299)	(68, 34.394286465059366)	(70, 33.94228532342809)	(72, 33.65590776981135)	(74, 33.30119480115894)	(76, 32.91145872552008)	(78, 32.61005548248319)	(80, 32.39710115479698)	(82, 32.23846909853687)	(84, 32.09818595804396)	(86, 31.891135316446825)	(88, 31.730614244349297)	(90, 31.556542892756745)	(92, 31.352247414532947)	(94, 31.150479715128228)	(96, 30.94950137841473)	(98, 30.709588688578236)	(100, 30.535554262527747)
ERR1797972_1	(1, 32.134563337248316)	(2, 32.28484261020506)	(3, 32.38766671477303)	(4, 35.88120869382948)	(5, 35.929024179873885)	(6, 35.93568893016418)	(7, 35.89827967060976)	(8, 35.88567346423878)	(9, 37.59037805989346)	(10, 37.60646697995382)	(12, 37.57822896246388)	(14, 38.921497780336885)	(16, 38.968221068490124)	(18, 39.016165271065084)	(20, 39.058393636163146)	(22, 39.03630251158061)	(24, 39.029564623121104)	(26, 38.97887700985018)	(28, 38.94422927473673)	(30, 38.89354485583675)	(32, 38.86506840533015)	(34, 38.85098588257921)	(36, 38.821652158929446)	(38, 38.785058941129186)	(40, 38.73088359180534)	(42, 38.66723028541354)	(44, 38.581321925970066)	(46, 38.48960396595369)	(48, 38.38439693452655)	(50, 38.25084791160522)	(52, 38.087519984206146)	(54, 37.89549438226479)	(56, 37.65149823013385)	(58, 37.37764333271637)	(60, 36.97986318416963)	(62, 36.63184926675708)	(64, 36.299571946908884)	(66, 35.898655830868066)	(68, 35.47061151043005)	(70, 35.08253274027098)	(72, 34.707853857640515)	(74, 34.36276037077451)	(76, 34.04922780421822)	(78, 33.777959128596294)	(80, 33.55093736507014)	(82, 33.36138125190092)	(84, 33.218315607098134)	(86, 33.08205810845085)	(88, 32.987722592260454)	(90, 32.88803356888711)	(92, 32.76245860058339)	(94, 32.626071259066656)	(96, 32.46441321215453)	(98, 32.28484517678055)	(100, 32.130928143124365)
ERR1797972_2	(1, 31.17352967722008)	(2, 31.38466315672389)	(3, 31.322741513276544)	(4, 34.80313583085625)	(5, 34.904015874509454)	(6, 35.16948242771009)	(7, 35.27695129533403)	(8, 35.39853802689948)	(9, 37.11128006604704)	(10, 37.091724570333106)	(12, 37.06742729870256)	(14, 38.412831581242415)	(16, 38.40061294623516)	(18, 38.401266333575634)	(20, 38.42623281668477)	(22, 38.37536266265626)	(24, 38.388229145632444)	(26, 38.32630308915242)	(28, 38.276373741990255)	(30, 38.247055140824855)	(32, 38.19492503826967)	(34, 38.110846573293045)	(36, 38.09329014445352)	(38, 38.08800364520192)	(40, 38.03205641709607)	(42, 37.95801634587304)	(44, 37.90335992059347)	(46, 37.76728741849184)	(48, 37.71322444455244)	(50, 37.614572890079224)	(52, 37.48556609644622)	(54, 37.24908225538394)	(56, 37.039518763033215)	(58, 36.82142816520799)	(60, 36.49167884836022)	(62, 36.18808066462414)	(64, 35.814853208130735)	(66, 35.41165352309201)	(68, 35.0038180857084)	(70, 34.5483080654284)	(72, 34.108192789629)	(74, 33.70604119061923)	(76, 33.3112875331199)	(78, 32.973349160179566)	(80, 32.69653838023753)	(82, 32.44940897490458)	(84, 32.254791094788104)	(86, 32.06792999667195)	(88, 31.910084200663512)	(90, 31.731667985283295)	(92, 31.541816328176594)	(94, 31.302769530679328)	(96, 31.056217660225585)	(98, 30.81534322093924)	(100, 30.638094612761737)
ERR1797973_1	(1, 32.17403247313318)	(2, 32.32051158627565)	(3, 32.42781921018113)	(4, 35.91649193807628)	(5, 35.958256092887254)	(6, 35.96157120468377)	(7, 35.925480246178616)	(8, 35.91485454638059)	(9, 37.63062220132975)	(10, 37.64814800357696)	(12, 37.6178370949521)	(14, 38.96930816328746)	(16, 39.00993590037966)	(18, 39.05583382108716)	(20, 39.09645517076116)	(22, 39.07772047655985)	(24, 39.07505579597668)	(26, 39.02873202651488)	(28, 38.996437427932804)	(30, 38.94430432248697)	(32, 38.917399765544175)	(34, 38.90335504359726)	(36, 38.874343807585916)	(38, 38.84049975911501)	(40, 38.79131697291484)	(42, 38.73539902994739)	(44, 38.65199727887635)	(46, 38.567605144000794)	(48, 38.47546765920744)	(50, 38.35072215398771)	(52, 38.18338876749547)	(54, 37.99703419230888)	(56, 37.756599747676105)	(58, 37.491638911316755)	(60, 37.10208778817484)	(62, 36.760233165813204)	(64, 36.42974322161335)	(66, 36.03421883962737)	(68, 35.61332179562433)	(70, 35.22790366604407)	(72, 34.85511857636555)	(74, 34.51164511921928)	(76, 34.19967605770218)	(78, 33.9374379940334)	(80, 33.71797571862629)	(82, 33.53158160824336)	(84, 33.393924083238495)	(86, 33.26285382330815)	(88, 33.17705153018326)	(90, 33.08868253863553)	(92, 32.982632943881725)	(94, 32.87096045895896)	(96, 32.73615827688331)	(98, 32.59028127183933)	(100, 32.46842528014882)
ERR1797973_2	(1, 31.004331671491325)	(2, 31.177331679005935)	(3, 31.349294670388346)	(4, 34.86319039432497)	(5, 34.969342855735356)	(6, 35.20681170141617)	(7, 35.32710649120332)	(8, 35.45715866764301)	(9, 37.18436689831147)	(10, 37.165570125084855)	(12, 37.14564689099724)	(14, 38.500247752505494)	(16, 38.49214940379922)	(18, 38.49897721987831)	(20, 38.52399882438107)	(22, 38.47265692383609)	(24, 38.484000268856036)	(26, 38.42637158325311)	(28, 38.37872973038415)	(30, 38.35328828881484)	(32, 38.30403125409651)	(34, 38.22272152860519)	(36, 38.20813575476322)	(38, 38.20825340015213)	(40, 38.15795636433165)	(42, 38.081121087915086)	(44, 38.03200355357541)	(46, 37.90134331997125)	(48, 37.85749688769917)	(50, 37.77087080549101)	(52, 37.65433782929645)	(54, 37.42907934759829)	(56, 37.23269671369421)	(58, 37.02692981438079)	(60, 36.70887170640921)	(62, 36.415541611316)	(64, 36.051952984427224)	(66, 35.658290806209074)	(68, 35.2574901454244)	(70, 34.80678028617304)	(72, 34.38403596325189)	(74, 33.99390018260502)	(76, 33.602297445784174)	(78, 33.263704769355755)	(80, 32.98742649250585)	(82, 32.73685817927688)	(84, 32.54631754903491)	(86, 32.36482400784191)	(88, 32.21628916885912)	(90, 32.055747799680546)	(92, 31.89333038732803)	(94, 31.692054824087165)	(96, 31.485608207456664)	(98, 31.282779812752626)	(100, 31.129353902211548)
