Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR1797969_1	82.66776965282729	45.0	100.0	100	45.45454545454545	25.937368
ERR1797969_2	80.80363082210263	44.0	100.0	100	45.45454545454545	25.937368
ERR1797970_1	82.9540428281805	44.0	100.0	100	45.45454545454545	26.63438
ERR1797970_2	80.71254312821512	44.0	100.0	100	45.45454545454545	26.63438
ERR1797971_1	82.98166774308046	45.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797971_2	80.9360780955197	44.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797972_1	80.60134232324216	43.0	100.0	100	18.181818181818183	27.078884
ERR1797972_2	77.72008493194839	42.0	100.0	100	27.27272727272727	27.078884
ERR1797973_1	80.62484008877074	42.0	100.0	100	18.181818181818183	23.953339999999997
ERR1797973_2	77.88418042016767	42.0	100.0	100	27.27272727272727	23.953339999999997
ERR1797974_1	78.74347792427147	43.0	100.0	100	18.181818181818183	23.240177
ERR1797974_2	75.63526919257173	42.0	100.0	100	27.27272727272727	23.240177
