Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
ERR1797969_1_paired - illumina_universal_adapter	(1, 0.003551388324019584)	(2, 0.005096128661119787)	(3, 0.0069437592603965)	(4, 0.009541043258560077)	(5, 0.015356536292349076)	(6, 0.02870642459777877)	(7, 0.04834128584337105)	(8, 0.06317533643346565)	(9, 0.07076273750098723)	(10, 0.07972071700485753)	(12, 0.08930719380274407)	(14, 0.09884823706130416)	(16, 0.11029748897157625)	(18, 0.12273870649047641)	(20, 0.13797030054967768)	(22, 0.15481099912669166)	(24, 0.17717187273187252)	(26, 0.20632506046636165)	(28, 0.2506303335662307)	(30, 0.310772981249654)	(32, 0.3682047610865976)	(34, 0.43256136954255164)	(36, 0.5196915395859021)	(38, 0.6056517959915957)	(40, 0.6842593912829545)	(42, 0.7683190112934906)	(44, 0.8876653468475901)	(46, 1.002911305477475)	(48, 1.1245898960503338)	(50, 1.2418311442823065)	(52, 1.3652967874020066)	(54, 1.4838442498896154)	(56, 1.594312114633666)	(58, 1.7146163406418986)	(60, 1.9000836204291303)	(62, 2.235663314151041)	(64, 2.5093738856951213)	(66, 2.6436299944048596)	(68, 2.7662626893035744)	(70, 2.860128381552075)	(72, 2.9170111727888237)	(74, 2.9607295960057254)	(76, 2.994380704133536)	(78, 3.0204784863483196)	(80, 3.0458379735490477)	(82, 3.0539440741905466)	(84, 3.054777022411532)	(86, 3.05515942136753)	(88, 3.0555153174255874)
ERR1797969_2_paired - illumina_universal_adapter	(1, 0.0033090761142783756)	(2, 0.004051157256610826)	(3, 0.0049295390169227064)	(4, 0.006224394887727288)	(5, 0.010063528960814557)	(6, 0.019922606994659968)	(7, 0.035309432313226696)	(8, 0.04706914674222971)	(9, 0.0522864315082201)	(10, 0.058938658891271714)	(12, 0.06664721606366389)	(14, 0.07421190036152224)	(16, 0.08364693202832055)	(18, 0.09432002764176534)	(20, 0.108256765830162)	(22, 0.12319682801201837)	(24, 0.14390316356006005)	(26, 0.17015996316248633)	(28, 0.20994838522764817)	(30, 0.2652296442031385)	(32, 0.3176296595596748)	(34, 0.37498950295935146)	(36, 0.4532336299360985)	(38, 0.531432323373519)	(40, 0.6031832403548572)	(42, 0.6791556903652803)	(44, 0.7872647971926313)	(46, 0.8892365900826307)	(48, 0.99485442450358)	(50, 1.0960576333533063)	(52, 1.2015997452087115)	(54, 1.3063391978693488)	(56, 1.403593474925949)	(58, 1.5079278118609252)	(60, 1.663878435599056)	(62, 1.9362449316047283)	(64, 2.1561054006621028)	(66, 2.267591733912722)	(68, 2.369608960342048)	(70, 2.4482847059423962)	(72, 2.4946458466967885)	(74, 2.5352066389305006)	(76, 2.570179105827056)	(78, 2.594027927845179)	(80, 2.61248530319656)	(82, 2.6200196984682007)	(84, 2.622529901515988)	(86, 2.62441160726976)	(88, 2.6262668101255913)
ERR1797970_1_paired - illumina_universal_adapter	(1, 0.005173942141044627)	(2, 0.007026590694153055)	(3, 0.009633772476163824)	(4, 0.012827064891339805)	(5, 0.020069236508036385)	(6, 0.035564115315852324)	(7, 0.05590956488089761)	(8, 0.07145160201551994)	(9, 0.07958304493770857)	(10, 0.08925387038493456)	(12, 0.09950406956149627)	(14, 0.10904689383596206)	(16, 0.12083647553756113)	(18, 0.1338656475437855)	(20, 0.14883504785290158)	(22, 0.16632741864615988)	(24, 0.18902404764769548)	(26, 0.21858221319956178)	(28, 0.25799310060205016)	(30, 0.31125169382604534)	(32, 0.3628327979964987)	(34, 0.420355851344558)	(36, 0.49108323619840827)	(38, 0.5586543816081447)	(40, 0.6159450117740868)	(42, 0.6785375852538338)	(44, 0.7739523541908324)	(46, 0.8644121303612449)	(48, 0.9572129806124035)	(50, 1.0450554696450607)	(52, 1.1356398785363186)	(54, 1.2192347497044858)	(56, 1.297106621069505)	(58, 1.3835882555286063)	(60, 1.5200240318833407)	(62, 1.7772524939007441)	(64, 1.9804476187537616)	(66, 2.0717764555181777)	(68, 2.1551490088599716)	(70, 2.2233601601335096)	(72, 2.26496727818441)	(74, 2.297550313555715)	(76, 2.324952669882146)	(78, 2.3449309581884843)	(80, 2.364892404235249)	(82, 2.37168320329537)	(84, 2.3724613156876755)	(86, 2.3728655299174446)	(88, 2.373215848916578)
ERR1797970_2_paired - illumina_universal_adapter	(1, 0.004378987489165374)	(2, 0.005301943313804846)	(3, 0.006521322906941665)	(4, 0.00807081078772326)	(5, 0.012261164969663048)	(6, 0.022555154021116422)	(7, 0.0369856020238737)	(8, 0.04769054220892567)	(9, 0.052702798658062655)	(10, 0.05911633110373256)	(12, 0.06633829200894067)	(14, 0.07354004220266035)	(16, 0.08310307718861457)	(18, 0.09374064833537168)	(20, 0.106678872139898)	(22, 0.12192785395793773)	(24, 0.14203751188895103)	(26, 0.16737500719164483)	(28, 0.2031547034300407)	(30, 0.2505319796108953)	(32, 0.2947125949246592)	(34, 0.343474304842473)	(36, 0.4031295882525644)	(38, 0.4608109588406166)	(40, 0.5105562567175352)	(42, 0.5635420053364363)	(44, 0.644967593471509)	(46, 0.7199156485745317)	(48, 0.7958439231847446)	(50, 0.8666656246922078)	(52, 0.9398486109919053)	(54, 1.0088917698883844)	(56, 1.0719491897323659)	(58, 1.1402883421786636)	(60, 1.2462968923875277)	(62, 1.4378641212308538)	(64, 1.5886596080981357)	(66, 1.658602143655851)	(68, 1.7225050449304327)	(70, 1.7729779284209357)	(72, 1.8034287337302088)	(74, 1.8302988746541105)	(76, 1.8547033087764206)	(78, 1.871565779061622)	(80, 1.8850395867205925)	(82, 1.8903651091978007)	(84, 1.8914396453586033)	(86, 1.8923794434428165)	(88, 1.8932821885559676)
ERR1797971_1_paired - illumina_universal_adapter	(1, 0.007648203503962756)	(2, 0.01006602267618324)	(3, 0.013689226916770205)	(4, 0.01836978648048566)	(5, 0.029605949047597765)	(6, 0.05148615520087002)	(7, 0.08028851420289013)	(8, 0.10109021792657133)	(9, 0.11221359592588306)	(10, 0.12587462670070315)	(12, 0.14005023706611247)	(14, 0.15323898246326853)	(16, 0.16906054261501452)	(18, 0.18607338976415197)	(20, 0.2057120026323918)	(22, 0.22845924015062943)	(24, 0.25744134955758136)	(26, 0.2946214872365229)	(28, 0.34803907816097435)	(30, 0.41914974815910916)	(32, 0.4876663730978354)	(34, 0.5625095073866138)	(36, 0.6545487637472052)	(38, 0.7414809938970861)	(40, 0.8163206036681208)	(42, 0.8960310969610339)	(44, 1.0231604519785162)	(46, 1.143022251408362)	(48, 1.2623130789637185)	(50, 1.3737195603262802)	(52, 1.4870539528946793)	(54, 1.5888913685829282)	(56, 1.6841238380193677)	(58, 1.789175613889927)	(60, 1.9587225399535806)	(62, 2.2726724824968922)	(64, 2.521316635766045)	(66, 2.628328043502136)	(68, 2.726503485254616)	(70, 2.8051636722598885)	(72, 2.8523745874375757)	(74, 2.8884973697933884)	(76, 2.9174794792003405)	(78, 2.939352636318125)	(80, 2.9600168838497996)	(82, 2.9668685463436724)	(84, 2.9675276311617558)	(86, 2.967880082936132)	(88, 2.9682325347105083)
ERR1797971_2_paired - illumina_universal_adapter	(1, 0.006781172138997393)	(2, 0.008113439846139292)	(3, 0.009917992930945252)	(4, 0.012448596670966108)	(5, 0.019948770429690874)	(6, 0.03630253276074488)	(7, 0.05826732733986741)	(8, 0.07465633484835904)	(9, 0.08235388160073445)	(10, 0.09194056986376611)	(12, 0.10275026578388305)	(14, 0.11339078485229945)	(16, 0.12658305476719928)	(18, 0.14122742599252885)	(20, 0.1580746208077095)	(22, 0.17830887717464508)	(24, 0.20399908700892366)	(26, 0.23624137532885514)	(28, 0.28391752684871885)	(30, 0.3468336930926078)	(32, 0.40461463698383615)	(34, 0.4680277602295956)	(36, 0.5461909902329974)	(38, 0.6208825702587941)	(40, 0.685455259842251)	(42, 0.7540388506181088)	(44, 0.860704855615311)	(46, 0.9608328801978354)	(48, 1.0589131599712345)	(50, 1.1485804158902742)	(52, 1.2406901626057407)	(54, 1.3246195036379367)	(56, 1.4030047782591955)	(58, 1.4879104107064134)	(60, 1.619917698281262)	(62, 1.8556762146792218)	(64, 2.04331096580386)	(66, 2.127046458360149)	(68, 2.202506383254086)	(70, 2.261055672013454)	(72, 2.2958849563573067)	(74, 2.326255725755301)	(76, 2.352097489852561)	(78, 2.3709113655687606)	(80, 2.3858200756248724)	(82, 2.3908883321404018)	(84, 2.391931589392555)	(86, 2.39279862075752)	(88, 2.3936586030869984)
ERR1797972_1_paired - illumina_universal_adapter	(1, 0.005159502010910512)	(2, 0.006577105771230415)	(3, 0.008591974060009973)	(4, 0.01142718158064978)	(5, 0.018450436758681382)	(6, 0.03246816328204774)	(7, 0.05012704464156573)	(8, 0.06300780977340648)	(9, 0.0702109639057934)	(10, 0.07937501664065327)	(12, 0.08984873376321988)	(14, 0.10006699437060193)	(16, 0.11208064654245004)	(18, 0.1256522236590152)	(20, 0.14231446481140475)	(22, 0.16530555117801432)	(24, 0.19895385160063295)	(26, 0.24214039458317052)	(28, 0.2996289044369559)	(30, 0.36333472215326096)	(32, 0.4320957004869505)	(34, 0.5074157946964348)	(36, 0.5973652718740938)	(38, 0.6920604834676458)	(40, 0.7839024976451228)	(42, 0.8755790047845926)	(44, 0.9866522171826528)	(46, 1.1045148161180829)	(48, 1.2173330483733897)	(50, 1.3257473542260783)	(52, 1.4474561928056249)	(54, 1.5663082359900091)	(56, 1.679838868104563)	(58, 1.793304736595549)	(60, 1.917089609108356)	(62, 2.067323225890482)	(64, 2.2014810721114166)	(66, 2.313536532800257)	(68, 2.4172302900906617)	(70, 2.50403513354619)	(72, 2.5707812435910995)	(74, 2.6235276170080786)	(76, 2.665987368215021)	(78, 2.6972286206283655)	(80, 2.7291354991728247)	(82, 2.7395480506509102)	(84, 2.740253254551983)	(86, 2.740544690858039)	(88, 2.7408469211013555)
ERR1797972_2_paired - illumina_universal_adapter	(1, 0.0043031829881792)	(2, 0.005080346470994172)	(3, 0.00632524723513297)	(4, 0.007850790368066065)	(5, 0.012348264226949008)	(6, 0.02215635521840093)	(7, 0.03598698682923775)	(8, 0.0462052474366198)	(9, 0.051645391816324604)	(10, 0.05892050553045365)	(12, 0.06740094223876333)	(14, 0.07591735873794407)	(16, 0.08590534868375131)	(18, 0.09759158475867274)	(20, 0.11227493741315378)	(22, 0.13259272531804336)	(24, 0.16242356992924215)	(26, 0.20128894002816497)	(28, 0.25467575372264906)	(30, 0.31198076664299196)	(32, 0.3725311566999048)	(34, 0.4383453901612542)	(36, 0.5170979564198381)	(38, 0.5985885847637099)	(40, 0.6768985995945798)	(42, 0.7563131940051911)	(44, 0.8516992175834677)	(46, 0.9522627330680904)	(48, 1.0477782838935026)	(50, 1.1384653467840185)	(52, 1.23997513076855)	(54, 1.3396211615859603)	(56, 1.4337299025883141)	(58, 1.5290367706266743)	(60, 1.6318814048525225)	(62, 1.7534930979967172)	(64, 1.8625118643360397)	(66, 1.953896935169454)	(68, 2.0356538139657716)	(70, 2.103454131883204)	(72, 2.1556212306671587)	(74, 2.201196831763535)	(76, 2.2414977955182134)	(78, 2.268543804315992)	(80, 2.2920134219011867)	(82, 2.2998786041856008)	(84, 2.3007097373547225)	(86, 2.301245836238701)	(88, 2.30169558362459)
ERR1797973_1_paired - illumina_universal_adapter	(1, 0.003325681855152096)	(2, 0.004243859236900609)	(3, 0.005350009940896849)	(4, 0.007114067272760136)	(5, 0.012023062880691163)	(6, 0.02108916080756231)	(7, 0.03245431706038643)	(8, 0.040529940173875324)	(9, 0.04473765069495906)	(10, 0.05026478934335858)	(12, 0.056800477163048785)	(14, 0.06357113163554864)	(16, 0.07202993113669637)	(18, 0.08078153523596074)	(20, 0.09119959513438285)	(22, 0.10564462197480434)	(24, 0.12656026894644568)	(26, 0.15464420626457243)	(28, 0.19118694308384693)	(30, 0.23278688524590163)	(32, 0.2779077123285195)	(34, 0.3295100041571023)	(36, 0.39052180671281655)	(38, 0.4572776402118315)	(40, 0.5210981979865166)	(42, 0.58523686446039)	(44, 0.6661702243027816)	(46, 0.7512389972346233)	(48, 0.834908814864352)	(50, 0.9149167675818317)	(52, 1.0026822347136117)	(54, 1.0881739476205108)	(56, 1.1722847795832054)	(58, 1.2570932817611653)	(60, 1.349402642471126)	(62, 1.4607985251323947)	(64, 1.5590362752363223)	(66, 1.639864803802845)	(68, 1.7148697742512697)	(70, 1.7801905037323549)	(72, 1.8320602960579826)	(74, 1.8725830064886946)	(76, 1.9073399967466156)	(78, 1.9335044372548664)	(80, 1.9597375603231697)	(82, 1.9681023731631933)	(84, 1.9688072731216222)	(86, 1.9691326115639742)	(88, 1.9693856525746924)
ERR1797973_2_paired - illumina_universal_adapter	(1, 0.0025448695935076904)	(2, 0.0030292623854537566)	(3, 0.003694398756484176)	(4, 0.004475211018128581)	(5, 0.007584000578379453)	(6, 0.0137726607262277)	(7, 0.021898892041860213)	(8, 0.02785620040848049)	(9, 0.030567354094745786)	(10, 0.034612395394653606)	(12, 0.039568384333146564)	(14, 0.044950928118278596)	(16, 0.051830028738229075)	(18, 0.05895494062573427)	(20, 0.0677463083123972)	(22, 0.07985974298263054)	(24, 0.09787626294575885)	(26, 0.12141992155728668)	(28, 0.15226562076382238)	(30, 0.18742024689572903)	(32, 0.22455220778281854)	(34, 0.26738120628264683)	(36, 0.31713991360456917)	(38, 0.37140275091727365)	(40, 0.42344967195040395)	(42, 0.47530138991812315)	(44, 0.5407486399045673)	(46, 0.6094384296997849)	(48, 0.6755616606720046)	(50, 0.7381495472373344)	(52, 0.8069441683084209)	(54, 0.8737036166790175)	(56, 0.9382471487700399)	(58, 1.0038389936197516)	(60, 1.0738156776980499)	(62, 1.1558588031160193)	(64, 1.2284237352468055)	(66, 1.2883836101722488)	(68, 1.3430151643862853)	(70, 1.3885444719576339)	(72, 1.422086865364108)	(74, 1.452130063079509)	(76, 1.4778281851537223)	(78, 1.4952844000216892)	(80, 1.5099643935149203)	(82, 1.5148047065627992)	(84, 1.5153180183273989)	(86, 1.5157011947150578)	(88, 1.5160699116163898)
