Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR1797969_1_paired	(1, 0.0)	(2, 0.0)	(3, 8.329482209854034e-05)	(4, 0.002453411123629734)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 3.407515449485742e-05)	(28, 0.000408901853938289)	(30, 2.2716769663238278e-05)	(32, 0.0)	(34, 1.1358384831619139e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 7.5844984228983585e-06)	(44, 1.8971205201206326e-05)	(46, 0.0)	(48, 1.5193743975917917e-05)	(50, 0.0)	(52, 0.0)	(54, 3.805710560032382e-06)	(56, 7.616520385045572e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.840285151925329e-06)	(78, 7.688662970341943e-06)	(80, 7.697416112115945e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797969_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.6907491276206936e-05)	(66, 5.0021915370691824e-05)	(68, 5.007377407652983e-05)	(70, 0.0)	(72, 0.0)	(74, 1.54587979942055e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.164581896853913e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.3449759827559844e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797970_1_paired	(1, 0.0)	(2, 0.0)	(3, 8.757974978330749e-05)	(4, 0.002620655589669739)	(5, 0.0)	(6, 0.0)	(7, 1.3473807658970381e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 8.42112978685649e-05)	(28, 0.0003200029319005466)	(30, 2.0210711488455575e-05)	(32, 1.0105355744227788e-05)	(34, 2.357916340319817e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 1.3494980710611948e-05)	(44, 1.0126397354228906e-05)	(46, 0.0)	(48, 1.0137252656526192e-05)	(50, 6.762083268022879e-06)	(52, 0.0)	(54, 3.385245279808634e-06)	(56, 1.0162260818488811e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 6.7947197281731606e-06)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 3.408805305437307e-06)	(74, 3.4116453785681124e-06)	(76, 6.829698163880042e-06)	(78, 2.0509597175445625e-05)	(80, 3.421994589621234e-06)	(82, 1.0276762462193074e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797970_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.051934391039394e-05)	(66, 5.8197838210489054e-05)	(68, 4.797840094638081e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.7270270686623824e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.781928743885799e-05)	(94, 3.485052297043275e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797971_1_paired	(1, 0.0)	(2, 0.0)	(3, 6.34413193877095e-05)	(4, 0.0025658489174584733)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 4.934324841266294e-05)	(28, 0.0003559762921199255)	(30, 1.0573553231284917e-05)	(32, 3.5245177437616393e-06)	(34, 3.172065969385475e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 7.059995737880573e-06)	(44, 0.0)	(46, 3.5336283394731305e-06)	(48, 2.4748751558066494e-05)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 2.4810085001832224e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 3.5547541085936856e-06)	(66, 3.5579608003092015e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.147280032897501e-06)	(78, 2.862163398404022e-05)	(80, 3.582110681345392e-06)	(82, 3.586219035284845e-06)	(84, 3.5901611346890954e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797971_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.8643594060693483e-05)	(66, 4.3012274305187784e-05)	(68, 5.741445416778161e-05)	(70, 0.0)	(72, 0.0)	(74, 1.4407729228052598e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 3.257365418961797e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.0937171998768911e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797972_1_paired	(1, 0.0)	(2, 0.0)	(3, 6.476362356791438e-05)	(4, 0.002396254072012832)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 7.91555399163398e-05)	(28, 0.0003382100341879973)	(30, 1.4391916348425414e-05)	(32, 1.0793937261319063e-05)	(34, 2.518585360974448e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 2.1622781070206574e-05)	(44, 3.605637833005893e-06)	(46, 0.0)	(48, 4.69253398351159e-05)	(50, 3.611803373424351e-06)	(52, 0.0)	(54, 0.0)	(56, 2.8951546872102017e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 7.266539616065839e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.4607984154427428e-05)	(80, 0.0)	(82, 0.0)	(84, 3.663481660134557e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797972_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.557532516011706e-05)	(66, 3.657810108592335e-05)	(68, 6.225228169259999e-05)	(70, 0.0)	(72, 0.0)	(74, 7.351437915526244e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 2.2169508058616178e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.979906823528465e-05)	(94, 0.0)	(96, 7.4928180402481975e-06)	(98, 0.0)	(100, 0.0)
ERR1797973_1_paired	(1, 0.0)	(2, 0.0)	(3, 8.675691796048946e-05)	(4, 0.0025520993366710647)	(5, 0.0)	(6, 0.0)	(7, 7.229743163374121e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 5.0608202143618854e-05)	(28, 0.0003759466444954543)	(30, 1.4459486326748243e-05)	(32, 7.229743163374121e-06)	(34, 2.5304101071809427e-05)	(36, 3.615293573949438e-06)	(38, 0.0)	(40, 0.0)	(42, 3.620631138282258e-06)	(44, 1.4489871398768867e-05)	(46, 3.6244040256545465e-06)	(48, 1.8131860620097302e-05)	(50, 3.6285053493421538e-06)	(52, 0.0)	(54, 0.0)	(56, 2.5448704282856966e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 3.6496087966082873e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.3283738807374575e-06)	(78, 1.8337752426038803e-05)	(80, 7.342143366949826e-06)	(82, 7.349109102411782e-06)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR1797973_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.5677678881624102e-05)	(66, 8.078766207886998e-05)	(68, 5.146391873847231e-05)	(70, 0.0)	(72, 0.0)	(74, 2.213061704106937e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.852994188454327e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.1197143742996887e-05)	(94, 3.7409361326060104e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
