Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR1797969_1_paired	(1, 32.315614379200284)	(2, 32.45918572647813)	(3, 32.520087341436)	(4, 36.02619485854381)	(5, 36.06650228307321)	(6, 36.083488520421206)	(7, 36.072664358289494)	(8, 36.07876994447189)	(9, 37.788036410135526)	(10, 37.79214254197473)	(12, 37.79647985480652)	(14, 39.201299202346064)	(16, 39.240934626967544)	(18, 39.300455138052456)	(20, 39.36182324187537)	(22, 39.29826789174672)	(24, 39.29638130188747)	(26, 39.20314365259759)	(28, 39.2059843467827)	(30, 39.189374299140326)	(32, 39.185725985932415)	(34, 39.14123613907903)	(36, 39.157514339884116)	(38, 39.160407523659984)	(40, 39.13468493530242)	(42, 39.102987282377754)	(44, 39.03801592187746)	(46, 38.921077846403556)	(48, 38.8806572543881)	(50, 38.77439622106013)	(52, 38.67304942937781)	(54, 38.54016757399623)	(56, 38.35784759800551)	(58, 38.17246266957636)	(60, 37.878642166952766)	(62, 37.519164141495565)	(64, 37.18565617502576)	(66, 36.74100410774138)	(68, 36.182466962351455)	(70, 35.82160871758545)	(72, 35.356860893025164)	(74, 35.048649006872594)	(76, 34.76661394307342)	(78, 34.58248595823045)	(80, 34.446985680284726)	(82, 34.32256441305732)	(84, 34.23166311107843)	(86, 34.17819241141905)	(88, 34.10641055182282)	(90, 34.06453579641847)	(92, 34.021286107733445)	(94, 34.010773531583766)	(96, 34.060356403132275)	(98, 34.135202523895515)	(100, 34.114751598579105)
ERR1797969_2_paired	(1, 31.617450204651593)	(2, 31.849338900355388)	(3, 31.975045477079803)	(4, 35.50553581173795)	(5, 35.45747469938709)	(6, 35.7514543086632)	(7, 35.84321657948602)	(8, 35.959695680095784)	(9, 37.73783810409475)	(10, 37.72757690137658)	(12, 37.73502921338717)	(14, 39.12685044179952)	(16, 39.16617434378635)	(18, 39.1675236063205)	(20, 39.165050015133154)	(22, 39.09306064779292)	(24, 39.18616192074225)	(26, 39.152501990935555)	(28, 39.12160029344008)	(30, 39.15857937046228)	(32, 39.12141049482955)	(34, 39.03471519948012)	(36, 39.02162072383456)	(38, 39.09156865438791)	(40, 39.05194261183341)	(42, 38.97925452180773)	(44, 38.9232568454393)	(46, 38.609203200425654)	(48, 38.58098092176156)	(50, 38.55666669512591)	(52, 38.46627117442315)	(54, 38.269764272085325)	(56, 37.99555664643441)	(58, 37.77466175275305)	(60, 37.447874678051704)	(62, 37.21153211010221)	(64, 36.96048439838537)	(66, 36.74167474038265)	(68, 36.42219826504825)	(70, 35.9397955328026)	(72, 35.784589928140434)	(74, 35.56884796762881)	(76, 35.22370911259978)	(78, 34.98336182296555)	(80, 34.82313382620146)	(82, 34.649306526236636)	(84, 34.50812135301045)	(86, 34.36043348549266)	(88, 34.28045658854126)	(90, 34.2333751902534)	(92, 34.25121497644152)	(94, 34.23557468226981)	(96, 34.18603408148539)	(98, 34.17492991994571)	(100, 34.160871972115984)
ERR1797970_1_paired	(1, 32.3481306506623)	(2, 32.49143011937659)	(3, 32.55802582848085)	(4, 36.04405847524733)	(5, 36.08491712328278)	(6, 36.104494902656455)	(7, 36.09177603244062)	(8, 36.096289555899254)	(9, 37.816720173402516)	(10, 37.81896868242465)	(12, 37.813695640428264)	(14, 39.226495616229315)	(16, 39.264878553160976)	(18, 39.31611513206959)	(20, 39.384987342031394)	(22, 39.32653735808543)	(24, 39.322123877648664)	(26, 39.24213496793975)	(28, 39.242517624077266)	(30, 39.22589023805119)	(32, 39.227063065638866)	(34, 39.17906798169233)	(36, 39.18505209470101)	(38, 39.188428272615944)	(40, 39.16395281516188)	(42, 39.12991264470148)	(44, 39.067372916039474)	(46, 38.95975354630226)	(48, 38.921053144309674)	(50, 38.81425686195593)	(52, 38.71583524146479)	(54, 38.57920014606883)	(56, 38.398469629858525)	(58, 38.20778754651759)	(60, 37.90986212788968)	(62, 37.557955622942906)	(64, 37.231546344721885)	(66, 36.80054649967166)	(68, 36.25776726292575)	(70, 35.895069792794665)	(72, 35.432863904220625)	(74, 35.115915341979786)	(76, 34.83282359408814)	(78, 34.64117735967443)	(80, 34.49875011296945)	(82, 34.372270444554374)	(84, 34.27555468335251)	(86, 34.21819681359369)	(88, 34.150615367806566)	(90, 34.10919010184964)	(92, 34.07961915470174)	(94, 34.08066720126554)	(96, 34.12055302633031)	(98, 34.18606895026312)	(100, 34.1695109208616)
ERR1797970_2_paired	(1, 31.670539330920356)	(2, 31.885040529887128)	(3, 31.943844605498363)	(4, 35.50615611535034)	(5, 35.54214236506015)	(6, 35.742313428522195)	(7, 35.83797436392512)	(8, 35.96328124673681)	(9, 37.736743625912126)	(10, 37.725670446563754)	(12, 37.733204090324634)	(14, 39.13941971948341)	(16, 39.171030788054715)	(18, 39.174943312322725)	(20, 39.184238353274345)	(22, 39.11211848408345)	(24, 39.18967890838444)	(26, 39.15604306336718)	(28, 39.12817309854594)	(30, 39.16237373189575)	(32, 39.12728722937689)	(34, 39.04713404026809)	(36, 39.033931855539976)	(38, 39.095945906536976)	(40, 39.0592570886358)	(42, 38.9944055901442)	(44, 38.94375047552784)	(46, 38.65091475841523)	(48, 38.616857863616886)	(50, 38.60411051733766)	(52, 38.51673327364611)	(54, 38.32582040133242)	(56, 38.06990826166569)	(58, 37.865186144213)	(60, 37.5537529894099)	(62, 37.316944392743125)	(64, 37.06246833634744)	(66, 36.831501932378444)	(68, 36.515836182589524)	(70, 36.02297936902741)	(72, 35.855196649276095)	(74, 35.630692809149394)	(76, 35.27763147227066)	(78, 35.03010494735845)	(80, 34.86484665297231)	(82, 34.682675236646745)	(84, 34.53238412328787)	(86, 34.38596598342433)	(88, 34.30483488962899)	(90, 34.25370518615121)	(92, 34.26496007938986)	(94, 34.246569553546095)	(96, 34.19939244252414)	(98, 34.18770483849186)	(100, 34.174861265210104)
ERR1797971_1_paired	(1, 32.34019272626946)	(2, 32.48356305905019)	(3, 32.54806864181581)	(4, 36.03404106119564)	(5, 36.08090734902834)	(6, 36.10154403483126)	(7, 36.09022990993165)	(8, 36.09721338938915)	(9, 37.815913310397654)	(10, 37.81706508755113)	(12, 37.81419542520416)	(14, 39.22790515071613)	(16, 39.264590305123136)	(18, 39.32046007926782)	(20, 39.386908376213796)	(22, 39.322878497608045)	(24, 39.318903934193585)	(26, 39.23762707472499)	(28, 39.2358259404224)	(30, 39.217758275602904)	(32, 39.22498868277353)	(34, 39.17804630060273)	(36, 39.18548588881315)	(38, 39.18913007956968)	(40, 39.16597084455646)	(42, 39.12860489662089)	(44, 39.059780769195044)	(46, 38.95328577998355)	(48, 38.9136039727151)	(50, 38.805289753403464)	(52, 38.705032634962265)	(54, 38.56941829886169)	(56, 38.38876665685837)	(58, 38.20019552497037)	(60, 37.90227184400263)	(62, 37.54412211612009)	(64, 37.21645860262775)	(66, 36.77992838759067)	(68, 36.229249057469325)	(70, 35.86433676487627)	(72, 35.39812765487203)	(74, 35.08519233793288)	(76, 34.80443976396245)	(78, 34.61906226840407)	(80, 34.47919236920425)	(82, 34.35421953553773)	(84, 34.258782721034585)	(86, 34.2064743658382)	(88, 34.1392532263871)	(90, 34.0992714796024)	(92, 34.0689314348904)	(94, 34.07026518015665)	(96, 34.110233034863455)	(98, 34.17453575725445)	(100, 34.155920518333936)
ERR1797971_2_paired	(1, 31.592812958495703)	(2, 31.70692930057073)	(3, 31.805753042117)	(4, 35.45435129206706)	(5, 35.52305661968578)	(6, 35.75148237691785)	(7, 35.838661252819435)	(8, 35.95541344073432)	(9, 37.71902727821655)	(10, 37.706787544467076)	(12, 37.71446242857036)	(14, 39.10919040558599)	(16, 39.14556339345644)	(18, 39.147446930983875)	(20, 39.150922387440644)	(22, 39.07484870302682)	(24, 39.161826293720054)	(26, 39.12720379283223)	(28, 39.10149025069049)	(30, 39.13419643603585)	(32, 39.098535647465894)	(34, 39.012343601287384)	(36, 38.99774814887617)	(38, 39.064237684288486)	(40, 39.02279283541161)	(42, 38.94822841326231)	(44, 38.89487599343586)	(46, 38.58759371362219)	(48, 38.55162331476769)	(50, 38.53908312880222)	(52, 38.45239580270839)	(54, 38.25654000011205)	(56, 37.99559577080046)	(58, 37.7860159689118)	(60, 37.464635706061244)	(62, 37.22532906134137)	(64, 36.978576843938626)	(66, 36.75423958783545)	(68, 36.442631861789366)	(70, 35.944638501674916)	(72, 35.78957189557375)	(74, 35.57179564671461)	(76, 35.22074285796383)	(78, 34.97989196833076)	(80, 34.82183815301654)	(82, 34.644269951456096)	(84, 34.49991118715888)	(86, 34.35280321181442)	(88, 34.27054835370616)	(90, 34.22000730938293)	(92, 34.23723858973955)	(94, 34.221730412116514)	(96, 34.17344592717613)	(98, 34.16215901923222)	(100, 34.14442137353946)
ERR1797972_1_paired	(1, 32.39559053270959)	(2, 32.531023646638154)	(3, 32.624210729317554)	(4, 36.08644698845553)	(5, 36.11527334926519)	(6, 36.123414784383904)	(7, 36.09383810101542)	(8, 36.08545473778288)	(9, 37.82552442344184)	(10, 37.8495152442776)	(12, 37.82195832244945)	(14, 39.22905109058344)	(16, 39.27659967949202)	(18, 39.322355395421496)	(20, 39.36628110722769)	(22, 39.34349586124466)	(24, 39.343642838690364)	(26, 39.32195170216792)	(28, 39.30534929540775)	(30, 39.26971919212417)	(32, 39.24844509735772)	(34, 39.24101131276585)	(36, 39.21450855802789)	(38, 39.178426296117216)	(40, 39.13219823705789)	(42, 39.086206229068026)	(44, 39.038753989289006)	(46, 38.974183966987354)	(48, 38.906519239062824)	(50, 38.793419564065566)	(52, 38.64726195810302)	(54, 38.484386646272426)	(56, 38.262461187212885)	(58, 38.023896391160854)	(60, 37.65390204612309)	(62, 37.33466320293897)	(64, 37.02825724533133)	(66, 36.656011975011566)	(68, 36.25995618098486)	(70, 35.89613093386413)	(72, 35.52604846943917)	(74, 35.20627342078999)	(76, 34.92437363833768)	(78, 34.710324067658824)	(80, 34.54455540227232)	(82, 34.39941239834073)	(84, 34.297892244182464)	(86, 34.21990799363013)	(88, 34.18659001926318)	(90, 34.16487657602893)	(92, 34.13293460348508)	(94, 34.127480669172655)	(96, 34.14716131854016)	(98, 34.19208351892619)	(100, 34.196822598165596)
ERR1797972_2_paired	(1, 31.613267044166633)	(2, 31.84676581257839)	(3, 31.766972782727397)	(4, 35.28241998634207)	(5, 35.398379758057494)	(6, 35.689874567253064)	(7, 35.80797902234273)	(8, 35.93725887243653)	(9, 37.712954523703125)	(10, 37.70626890288263)	(12, 37.69527096020707)	(14, 39.11335274802849)	(16, 39.10063166120853)	(18, 39.11856773087692)	(20, 39.144289215633364)	(22, 39.09968042749748)	(24, 39.128445442763706)	(26, 39.08526458458813)	(28, 39.046998529865746)	(30, 39.031506315532695)	(32, 38.995638781609145)	(34, 38.92857597744499)	(36, 38.92889367039877)	(38, 38.96041507481719)	(40, 38.931638567073215)	(42, 38.879558323734585)	(44, 38.87328635598254)	(46, 38.80784050907764)	(48, 38.80332015778014)	(50, 38.76694674307238)	(52, 38.702343166103795)	(54, 38.54723418479579)	(56, 38.41614485791195)	(58, 38.273639538867236)	(60, 38.02217061713917)	(62, 37.79058733259339)	(64, 37.48413704072223)	(66, 37.13208526235421)	(68, 36.78995403670258)	(70, 36.36661845545311)	(72, 36.002921653748956)	(74, 35.69095318596918)	(76, 35.34349982647984)	(78, 35.04915950409779)	(80, 34.80503038116985)	(82, 34.58424881712977)	(84, 34.44265990917553)	(86, 34.319186568557974)	(88, 34.24392769339552)	(90, 34.188028842067354)	(92, 34.15871641132914)	(94, 34.13081949107225)	(96, 34.12458318308798)	(98, 34.15754925754899)	(100, 34.15052844571282)
ERR1797973_1_paired	(1, 32.417622137473565)	(2, 32.55020420409565)	(3, 32.646976991342385)	(4, 36.107650731107775)	(5, 36.13288976449112)	(6, 36.1367599183039)	(7, 36.10585580277261)	(8, 36.0984728613516)	(9, 37.846398322699585)	(10, 37.87203047336743)	(12, 37.84098559473675)	(14, 39.24950682307011)	(16, 39.29318950964267)	(18, 39.336658015074015)	(20, 39.379622788150456)	(22, 39.359264156740835)	(24, 39.365053771214775)	(26, 39.34621674770004)	(28, 39.32938456811322)	(30, 39.292408950422036)	(32, 39.27339816003037)	(34, 39.265686735228726)	(36, 39.2382091617545)	(38, 39.2037808103705)	(40, 39.163699852656464)	(42, 39.12388284015463)	(44, 39.07551424884619)	(46, 39.01527341650315)	(48, 38.954708267357006)	(50, 38.850164959598146)	(52, 38.70223925271682)	(54, 38.541199850384956)	(56, 38.3230639429668)	(58, 38.088788294091486)	(60, 37.72032193315552)	(62, 37.40517039236099)	(64, 37.09787261503513)	(66, 36.72404571570931)	(68, 36.331328812307774)	(70, 35.96278040338653)	(72, 35.589990968496174)	(74, 35.266978512028814)	(76, 34.98135530414689)	(78, 34.76356045140835)	(80, 34.59041427622161)	(82, 34.43458100853323)	(84, 34.32753187600862)	(86, 34.24203403607731)	(88, 34.209391252443496)	(90, 34.18650328725113)	(92, 34.15787806475666)	(94, 34.151241330544124)	(96, 34.165441194898634)	(98, 34.210013775334595)	(100, 34.22174508727452)
ERR1797973_2_paired	(1, 31.364692247907893)	(2, 31.535282447991037)	(3, 31.755795687458203)	(4, 35.32073779528982)	(5, 35.43880969508558)	(6, 35.689945523885264)	(7, 35.822462522818874)	(8, 35.961066676306324)	(9, 37.74695016899525)	(10, 37.739902832251886)	(12, 37.732874618179196)	(14, 39.154325880673085)	(16, 39.144130243823085)	(18, 39.16915505991649)	(20, 39.19359325464963)	(22, 39.14824982377501)	(24, 39.17450535904712)	(26, 39.132833372494446)	(28, 39.095858875413455)	(30, 39.082832179586816)	(32, 39.048975256204024)	(34, 38.97976521409077)	(36, 38.98416093119761)	(38, 39.01921762983156)	(40, 38.990529515652014)	(42, 38.93408446636395)	(44, 38.92787797173108)	(46, 38.86222939530629)	(48, 38.8619378726693)	(50, 38.82933768578188)	(52, 38.766991650385265)	(54, 38.61389722414289)	(56, 38.48630721002603)	(58, 38.34627594600389)	(60, 38.100171155223464)	(62, 37.86982609312717)	(64, 37.56357876388698)	(66, 37.21273012632933)	(68, 36.86740454015048)	(70, 36.441285528859524)	(72, 36.08264537842838)	(74, 35.767594268986606)	(76, 35.415510587066585)	(78, 35.11366627918227)	(80, 34.866177362793685)	(82, 34.636944348482416)	(84, 34.48982649931342)	(86, 34.36296280978389)	(88, 34.28498821995554)	(90, 34.227092309411994)	(92, 34.19645714830794)	(94, 34.168668750077586)	(96, 34.16088207779271)	(98, 34.189019747138055)	(100, 34.18373868434293)
