Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR1797969_1_paired	(0.0, 49.0)	(1.0, 28.5)	(2.0, 8.0)	(3.0, 5.0)	(4.0, 2.0)	(5.0, 6.5)	(6.0, 10.5)	(7.0, 9.0)	(8.0, 10.0)	(9.0, 17.0)	(10.0, 27.0)	(11.0, 26.0)	(12.0, 23.5)	(13.0, 36.5)	(14.0, 43.5)	(15.0, 50.5)	(16.0, 92.5)	(17.0, 174.5)	(18.0, 367.0)	(19.0, 1539.0)	(20.0, 2690.0)	(21.0, 2358.5)	(22.0, 2331.0)	(23.0, 3742.0)	(24.0, 7418.5)	(25.0, 11888.0)	(26.0, 16308.0)	(27.0, 24858.5)	(28.0, 40697.5)	(29.0, 58194.5)	(30.0, 76448.0)	(31.0, 102000.0)	(32.0, 138480.0)	(33.0, 189134.0)	(34.0, 243700.0)	(35.0, 315266.0)	(36.0, 384365.0)	(37.0, 448367.5)	(38.0, 549392.0)	(39.0, 657181.0)	(40.0, 735873.5)	(41.0, 765679.0)	(42.0, 820713.0)	(43.0, 870948.5)	(44.0, 821100.5)	(45.0, 737124.5)	(46.0, 716490.0)	(47.0, 721180.5)	(48.0, 764803.0)	(49.0, 806798.0)	(50.0, 625365.0)	(51.0, 724043.0)	(52.0, 610419.5)	(53.0, 177383.5)	(54.0, 87637.5)	(55.0, 39892.5)	(56.0, 20745.5)	(57.0, 16892.0)	(58.0, 15401.0)	(59.0, 11648.0)	(60.0, 7728.5)	(61.0, 3070.5)	(62.0, 1428.5)	(63.0, 931.0)	(64.0, 579.5)	(65.0, 408.5)	(66.0, 234.5)	(67.0, 133.5)	(68.0, 96.5)	(69.0, 68.5)	(70.0, 45.0)	(71.0, 22.5)	(72.0, 10.5)	(73.0, 6.5)	(74.0, 6.0)	(75.0, 5.0)	(76.0, 6.5)	(77.0, 8.5)	(78.0, 6.5)	(79.0, 4.0)	(80.0, 2.5)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
ERR1797969_2_paired	(0.0, 10.0)	(1.0, 11.0)	(2.0, 10.5)	(3.0, 8.5)	(4.0, 8.5)	(5.0, 12.5)	(6.0, 14.0)	(7.0, 12.5)	(8.0, 17.5)	(9.0, 24.5)	(10.0, 29.0)	(11.0, 36.5)	(12.0, 50.5)	(13.0, 65.5)	(14.0, 83.0)	(15.0, 129.0)	(16.0, 216.5)	(17.0, 422.5)	(18.0, 748.5)	(19.0, 1676.0)	(20.0, 3307.5)	(21.0, 4700.5)	(22.0, 6554.0)	(23.0, 8393.0)	(24.0, 11262.5)	(25.0, 17172.0)	(26.0, 24783.5)	(27.0, 33898.0)	(28.0, 48108.5)	(29.0, 66423.0)	(30.0, 92444.0)	(31.0, 128156.0)	(32.0, 174506.5)	(33.0, 232739.5)	(34.0, 292642.0)	(35.0, 358267.5)	(36.0, 426153.0)	(37.0, 493114.5)	(38.0, 570657.5)	(39.0, 673288.0)	(40.0, 837124.0)	(41.0, 1010705.5)	(42.0, 989122.0)	(43.0, 810090.0)	(44.0, 670306.0)	(45.0, 629991.5)	(46.0, 614659.0)	(47.0, 715214.0)	(48.0, 1010777.5)	(49.0, 1049002.5)	(50.0, 681674.0)	(51.0, 313795.0)	(52.0, 159317.5)	(53.0, 111476.0)	(54.0, 72268.5)	(55.0, 43683.0)	(56.0, 24805.5)	(57.0, 16899.5)	(58.0, 16314.0)	(59.0, 14085.0)	(60.0, 7998.5)	(61.0, 3656.5)	(62.0, 1864.0)	(63.0, 1137.0)	(64.0, 843.0)	(65.0, 708.0)	(66.0, 535.0)	(67.0, 346.5)	(68.0, 184.5)	(69.0, 78.5)	(70.0, 43.0)	(71.0, 34.5)	(72.0, 26.0)	(73.0, 16.0)	(74.0, 8.5)	(75.0, 4.5)	(76.0, 1.5)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 3.0)	(98.0, 6.0)	(99.0, 36.5)	(100.0, 92.0)
ERR1797970_1_paired	(0.0, 72.0)	(1.0, 43.5)	(2.0, 11.0)	(3.0, 6.5)	(4.0, 6.0)	(5.0, 6.5)	(6.0, 6.5)	(7.0, 6.5)	(8.0, 7.5)	(9.0, 8.5)	(10.0, 12.0)	(11.0, 20.5)	(12.0, 30.0)	(13.0, 39.0)	(14.0, 50.0)	(15.0, 70.5)	(16.0, 113.0)	(17.0, 225.0)	(18.0, 500.5)	(19.0, 1916.5)	(20.0, 3251.5)	(21.0, 2843.5)	(22.0, 2948.0)	(23.0, 4687.5)	(24.0, 8987.5)	(25.0, 14286.5)	(26.0, 19655.5)	(27.0, 29773.5)	(28.0, 49095.0)	(29.0, 70976.0)	(30.0, 91481.5)	(31.0, 121054.5)	(32.0, 166062.0)	(33.0, 226382.5)	(34.0, 287628.0)	(35.0, 371057.0)	(36.0, 451739.5)	(37.0, 523316.5)	(38.0, 638184.0)	(39.0, 756117.5)	(40.0, 835978.0)	(41.0, 872093.5)	(42.0, 940044.5)	(43.0, 1013147.5)	(44.0, 958579.5)	(45.0, 841833.5)	(46.0, 810550.0)	(47.0, 795169.0)	(48.0, 798660.0)	(49.0, 837768.5)	(50.0, 647947.0)	(51.0, 754233.5)	(52.0, 646663.0)	(53.0, 192784.0)	(54.0, 103022.0)	(55.0, 46306.5)	(56.0, 23724.5)	(57.0, 20871.0)	(58.0, 19979.0)	(59.0, 14632.0)	(60.0, 9271.5)	(61.0, 3510.5)	(62.0, 1671.0)	(63.0, 1117.5)	(64.0, 721.0)	(65.0, 490.5)	(66.0, 279.5)	(67.0, 168.0)	(68.0, 106.0)	(69.0, 65.5)	(70.0, 42.0)	(71.0, 19.5)	(72.0, 10.5)	(73.0, 9.5)	(74.0, 7.5)	(75.0, 7.5)	(76.0, 7.5)	(77.0, 8.0)	(78.0, 10.0)	(79.0, 8.5)	(80.0, 3.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.5)
ERR1797970_2_paired	(0.0, 20.0)	(1.0, 17.5)	(2.0, 12.0)	(3.0, 12.0)	(4.0, 17.0)	(5.0, 17.0)	(6.0, 10.5)	(7.0, 11.5)	(8.0, 21.5)	(9.0, 34.0)	(10.0, 39.5)	(11.0, 49.0)	(12.0, 57.5)	(13.0, 72.5)	(14.0, 102.0)	(15.0, 150.5)	(16.0, 249.5)	(17.0, 520.5)	(18.0, 971.0)	(19.0, 2160.0)	(20.0, 4247.5)	(21.0, 6037.0)	(22.0, 8102.0)	(23.0, 10188.0)	(24.0, 13647.0)	(25.0, 20801.5)	(26.0, 30230.5)	(27.0, 40913.0)	(28.0, 57702.5)	(29.0, 79742.0)	(30.0, 111129.5)	(31.0, 153615.0)	(32.0, 208691.0)	(33.0, 277677.0)	(34.0, 347999.0)	(35.0, 424205.5)	(36.0, 500842.0)	(37.0, 576187.0)	(38.0, 661431.0)	(39.0, 776022.5)	(40.0, 969674.0)	(41.0, 1182088.5)	(42.0, 1153971.5)	(43.0, 927503.5)	(44.0, 760166.0)	(45.0, 717213.0)	(46.0, 693552.5)	(47.0, 777231.0)	(48.0, 1067955.0)	(49.0, 1090364.0)	(50.0, 697700.5)	(51.0, 316825.5)	(52.0, 156693.0)	(53.0, 109476.5)	(54.0, 72383.5)	(55.0, 44732.5)	(56.0, 26087.5)	(57.0, 18295.0)	(58.0, 18219.0)	(59.0, 16523.0)	(60.0, 9703.5)	(61.0, 4340.0)	(62.0, 2231.0)	(63.0, 1340.0)	(64.0, 963.0)	(65.0, 819.5)	(66.0, 633.0)	(67.0, 395.0)	(68.0, 194.0)	(69.0, 94.0)	(70.0, 52.0)	(71.0, 26.0)	(72.0, 15.5)	(73.0, 12.5)	(74.0, 7.5)	(75.0, 3.5)	(76.0, 2.5)	(77.0, 2.5)	(78.0, 2.0)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 1.0)	(97.0, 3.0)	(98.0, 8.0)	(99.0, 29.0)	(100.0, 72.0)
ERR1797971_1_paired	(0.0, 23.0)	(1.0, 16.0)	(2.0, 6.5)	(3.0, 5.5)	(4.0, 5.5)	(5.0, 3.5)	(6.0, 2.5)	(7.0, 5.0)	(8.0, 7.0)	(9.0, 7.5)	(10.0, 14.0)	(11.0, 18.5)	(12.0, 21.0)	(13.0, 28.0)	(14.0, 36.5)	(15.0, 52.0)	(16.0, 83.5)	(17.0, 169.5)	(18.0, 424.0)	(19.0, 1676.0)	(20.0, 2871.5)	(21.0, 2554.0)	(22.0, 2529.0)	(23.0, 3949.0)	(24.0, 7828.5)	(25.0, 12500.5)	(26.0, 17010.0)	(27.0, 25755.5)	(28.0, 42413.0)	(29.0, 61801.0)	(30.0, 80683.5)	(31.0, 107257.0)	(32.0, 148157.5)	(33.0, 201972.0)	(34.0, 257792.0)	(35.0, 336292.0)	(36.0, 412260.0)	(37.0, 478705.5)	(38.0, 586334.0)	(39.0, 700335.0)	(40.0, 782521.5)	(41.0, 820871.0)	(42.0, 893624.0)	(43.0, 966675.5)	(44.0, 919715.5)	(45.0, 813515.5)	(46.0, 782616.0)	(47.0, 776886.0)	(48.0, 794486.5)	(49.0, 846909.5)	(50.0, 658504.0)	(51.0, 747259.5)	(52.0, 640137.0)	(53.0, 194518.0)	(54.0, 100665.5)	(55.0, 46567.5)	(56.0, 24308.0)	(57.0, 20044.5)	(58.0, 18798.0)	(59.0, 13915.0)	(60.0, 8917.0)	(61.0, 3456.0)	(62.0, 1622.0)	(63.0, 1079.0)	(64.0, 670.5)	(65.0, 469.5)	(66.0, 298.5)	(67.0, 173.5)	(68.0, 112.5)	(69.0, 71.5)	(70.0, 43.0)	(71.0, 25.5)	(72.0, 14.0)	(73.0, 9.0)	(74.0, 9.5)	(75.0, 9.5)	(76.0, 9.5)	(77.0, 8.0)	(78.0, 5.0)	(79.0, 5.0)	(80.0, 5.0)	(81.0, 2.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
ERR1797971_2_paired	(0.0, 10.0)	(1.0, 10.5)	(2.0, 9.5)	(3.0, 7.5)	(4.0, 8.0)	(5.0, 10.0)	(6.0, 10.5)	(7.0, 12.5)	(8.0, 15.5)	(9.0, 17.5)	(10.0, 22.5)	(11.0, 32.5)	(12.0, 45.0)	(13.0, 63.5)	(14.0, 87.5)	(15.0, 128.0)	(16.0, 211.5)	(17.0, 442.5)	(18.0, 835.5)	(19.0, 1794.5)	(20.0, 3491.5)	(21.0, 5147.5)	(22.0, 7118.0)	(23.0, 9085.0)	(24.0, 12233.0)	(25.0, 18666.5)	(26.0, 27133.0)	(27.0, 36975.5)	(28.0, 52490.0)	(29.0, 72086.0)	(30.0, 100031.5)	(31.0, 139388.0)	(32.0, 189852.5)	(33.0, 252572.5)	(34.0, 317929.5)	(35.0, 389753.0)	(36.0, 462467.0)	(37.0, 533758.5)	(38.0, 614270.5)	(39.0, 725989.5)	(40.0, 922152.5)	(41.0, 1136193.5)	(42.0, 1105817.0)	(43.0, 880621.0)	(44.0, 716821.5)	(45.0, 675900.5)	(46.0, 657849.5)	(47.0, 752773.5)	(48.0, 1054646.5)	(49.0, 1088336.0)	(50.0, 701889.0)	(51.0, 322932.0)	(52.0, 164328.0)	(53.0, 115092.0)	(54.0, 75782.5)	(55.0, 46883.5)	(56.0, 27365.5)	(57.0, 18943.0)	(58.0, 19037.5)	(59.0, 17226.5)	(60.0, 9839.0)	(61.0, 4324.0)	(62.0, 2197.5)	(63.0, 1377.0)	(64.0, 1009.5)	(65.0, 830.5)	(66.0, 622.0)	(67.0, 398.0)	(68.0, 219.5)	(69.0, 112.0)	(70.0, 59.5)	(71.0, 30.5)	(72.0, 18.5)	(73.0, 11.5)	(74.0, 8.0)	(75.0, 8.0)	(76.0, 6.0)	(77.0, 2.5)	(78.0, 1.5)	(79.0, 1.0)	(80.0, 0.0)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 1.0)	(97.0, 2.0)	(98.0, 8.5)	(99.0, 33.5)	(100.0, 70.0)
ERR1797972_1_paired	(0.0, 20.0)	(1.0, 12.0)	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 1.5)	(12.0, 3.0)	(13.0, 5.5)	(14.0, 13.0)	(15.0, 27.5)	(16.0, 63.5)	(17.0, 178.0)	(18.0, 349.5)	(19.0, 749.5)	(20.0, 1285.0)	(21.0, 1853.0)	(22.0, 2717.0)	(23.0, 5212.5)	(24.0, 9598.0)	(25.0, 13340.5)	(26.0, 17507.0)	(27.0, 32616.0)	(28.0, 50559.0)	(29.0, 66992.5)	(30.0, 88668.5)	(31.0, 117784.5)	(32.0, 162754.0)	(33.0, 245525.5)	(34.0, 330388.0)	(35.0, 422486.5)	(36.0, 500930.0)	(37.0, 604393.0)	(38.0, 784057.5)	(39.0, 933032.5)	(40.0, 1035331.0)	(41.0, 1088296.5)	(42.0, 1082953.0)	(43.0, 1061535.0)	(44.0, 1013835.0)	(45.0, 930442.5)	(46.0, 802576.5)	(47.0, 649597.0)	(48.0, 524314.5)	(49.0, 456743.5)	(50.0, 342308.5)	(51.0, 240191.5)	(52.0, 179876.0)	(53.0, 99255.5)	(54.0, 64414.0)	(55.0, 35969.5)	(56.0, 19459.5)	(57.0, 17001.0)	(58.0, 15561.0)	(59.0, 10706.5)	(60.0, 6307.0)	(61.0, 2945.5)	(62.0, 2261.5)	(63.0, 1714.0)	(64.0, 798.0)	(65.0, 445.0)	(66.0, 235.5)	(67.0, 142.5)	(68.0, 95.0)	(69.0, 58.0)	(70.0, 35.5)	(71.0, 19.0)	(72.0, 8.5)	(73.0, 8.0)	(74.0, 15.5)	(75.0, 21.0)	(76.0, 25.0)	(77.0, 29.0)	(78.0, 27.0)	(79.0, 19.5)	(80.0, 13.5)	(81.0, 7.5)	(82.0, 2.5)	(83.0, 1.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
ERR1797972_2_paired	(0.0, 13.0)	(1.0, 8.5)	(2.0, 3.5)	(3.0, 2.5)	(4.0, 2.5)	(5.0, 3.0)	(6.0, 2.5)	(7.0, 2.0)	(8.0, 2.5)	(9.0, 3.0)	(10.0, 5.0)	(11.0, 9.0)	(12.0, 19.0)	(13.0, 38.0)	(14.0, 70.0)	(15.0, 133.0)	(16.0, 250.0)	(17.0, 509.0)	(18.0, 851.5)	(19.0, 1325.0)	(20.0, 1996.5)	(21.0, 2915.0)	(22.0, 5076.5)	(23.0, 9022.0)	(24.0, 15603.5)	(25.0, 27525.0)	(26.0, 40358.5)	(27.0, 50318.0)	(28.0, 62213.0)	(29.0, 82250.0)	(30.0, 114484.5)	(31.0, 155512.0)	(32.0, 212450.0)	(33.0, 291524.5)	(34.0, 372270.0)	(35.0, 454810.0)	(36.0, 560692.0)	(37.0, 669594.5)	(38.0, 797079.5)	(39.0, 984814.5)	(40.0, 1158080.0)	(41.0, 1218905.5)	(42.0, 1164711.0)	(43.0, 1083790.5)	(44.0, 996473.5)	(45.0, 857066.0)	(46.0, 680088.5)	(47.0, 525826.0)	(48.0, 436799.0)	(49.0, 361732.0)	(50.0, 262314.0)	(51.0, 168864.5)	(52.0, 114423.0)	(53.0, 85394.5)	(54.0, 56619.0)	(55.0, 33238.0)	(56.0, 20488.5)	(57.0, 15354.5)	(58.0, 14018.5)	(59.0, 11214.0)	(60.0, 6381.0)	(61.0, 3216.5)	(62.0, 1888.0)	(63.0, 1383.5)	(64.0, 1205.0)	(65.0, 1282.5)	(66.0, 1117.0)	(67.0, 670.5)	(68.0, 296.5)	(69.0, 126.0)	(70.0, 68.0)	(71.0, 36.0)	(72.0, 18.5)	(73.0, 11.5)	(74.0, 8.5)	(75.0, 6.5)	(76.0, 4.0)	(77.0, 2.0)	(78.0, 1.0)	(79.0, 1.0)	(80.0, 1.5)	(81.0, 1.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 3.5)	(99.0, 39.0)	(100.0, 81.5)
ERR1797973_1_paired	(0.0, 13.0)	(1.0, 8.5)	(2.0, 4.0)	(3.0, 2.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 2.0)	(11.0, 2.5)	(12.0, 2.5)	(13.0, 9.0)	(14.0, 15.0)	(15.0, 27.5)	(16.0, 61.0)	(17.0, 196.0)	(18.0, 363.0)	(19.0, 734.0)	(20.0, 1296.5)	(21.0, 1920.5)	(22.0, 2846.5)	(23.0, 5309.0)	(24.0, 9737.5)	(25.0, 13786.5)	(26.0, 18563.5)	(27.0, 36164.5)	(28.0, 54625.0)	(29.0, 72064.0)	(30.0, 95784.5)	(31.0, 124975.5)	(32.0, 171805.0)	(33.0, 264839.0)	(34.0, 354383.5)	(35.0, 444902.5)	(36.0, 523977.0)	(37.0, 634216.0)	(38.0, 819890.5)	(39.0, 953888.5)	(40.0, 1038097.5)	(41.0, 1085805.5)	(42.0, 1089819.5)	(43.0, 1055348.5)	(44.0, 978197.5)	(45.0, 882957.0)	(46.0, 763220.0)	(47.0, 623271.5)	(48.0, 496315.5)	(49.0, 433007.5)	(50.0, 323394.5)	(51.0, 216227.0)	(52.0, 162289.5)	(53.0, 94245.5)	(54.0, 60942.0)	(55.0, 32051.5)	(56.0, 16815.0)	(57.0, 13712.5)	(58.0, 12665.0)	(59.0, 9569.5)	(60.0, 5835.5)	(61.0, 2650.0)	(62.0, 1935.0)	(63.0, 1423.0)	(64.0, 691.5)	(65.0, 392.5)	(66.0, 204.0)	(67.0, 141.0)	(68.0, 99.0)	(69.0, 52.5)	(70.0, 28.5)	(71.0, 19.5)	(72.0, 10.5)	(73.0, 6.5)	(74.0, 11.0)	(75.0, 16.5)	(76.0, 21.0)	(77.0, 21.5)	(78.0, 16.5)	(79.0, 12.0)	(80.0, 8.0)	(81.0, 3.5)	(82.0, 1.0)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR1797973_2_paired	(0.0, 10.0)	(1.0, 5.5)	(2.0, 2.0)	(3.0, 3.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 3.0)	(7.0, 4.5)	(8.0, 5.5)	(9.0, 7.0)	(10.0, 10.5)	(11.0, 13.0)	(12.0, 25.0)	(13.0, 45.0)	(14.0, 70.0)	(15.0, 129.0)	(16.0, 245.0)	(17.0, 506.5)	(18.0, 866.0)	(19.0, 1355.5)	(20.0, 2078.0)	(21.0, 2999.5)	(22.0, 5081.5)	(23.0, 9100.0)	(24.0, 16344.5)	(25.0, 29483.5)	(26.0, 42791.0)	(27.0, 52556.5)	(28.0, 64626.5)	(29.0, 84501.0)	(30.0, 115850.5)	(31.0, 156128.0)	(32.0, 214611.0)	(33.0, 298801.0)	(34.0, 385666.5)	(35.0, 473445.0)	(36.0, 581011.5)	(37.0, 686503.0)	(38.0, 811456.5)	(39.0, 1006174.5)	(40.0, 1184046.0)	(41.0, 1233106.5)	(42.0, 1161491.0)	(43.0, 1074354.5)	(44.0, 986345.0)	(45.0, 845450.5)	(46.0, 663610.5)	(47.0, 496594.5)	(48.0, 398162.5)	(49.0, 324285.5)	(50.0, 233303.0)	(51.0, 148114.0)	(52.0, 100012.5)	(53.0, 75417.0)	(54.0, 49640.5)	(55.0, 28903.5)	(56.0, 17801.0)	(57.0, 13170.0)	(58.0, 11939.0)	(59.0, 9594.5)	(60.0, 5440.5)	(61.0, 2797.5)	(62.0, 1734.0)	(63.0, 1337.0)	(64.0, 1328.0)	(65.0, 1508.5)	(66.0, 1335.0)	(67.0, 789.5)	(68.0, 339.0)	(69.0, 135.5)	(70.0, 66.0)	(71.0, 38.5)	(72.0, 20.0)	(73.0, 10.0)	(74.0, 9.0)	(75.0, 7.0)	(76.0, 4.0)	(77.0, 2.0)	(78.0, 1.5)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.5)	(83.0, 1.0)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 3.5)	(98.0, 8.5)	(99.0, 34.5)	(100.0, 67.0)
