Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
ERR1797969_1_paired	(21.0, 13.0)	(22.0, 58.0)	(23.0, 173.0)	(24.0, 799.0)	(25.0, 3171.0)	(26.0, 10700.0)	(27.0, 28420.0)	(28.0, 60857.0)	(29.0, 106808.0)	(30.0, 163516.0)	(31.0, 227312.0)	(32.0, 303164.0)	(33.0, 405700.0)	(34.0, 564125.0)	(35.0, 836393.0)	(36.0, 1500877.0)	(37.0, 3650985.0)	(38.0, 4919969.0)	(39.0, 422387.0)	(40.0, 676.0)			
ERR1797969_2_paired	(19.0, 7.0)	(20.0, 82.0)	(21.0, 538.0)	(22.0, 2185.0)	(23.0, 6312.0)	(24.0, 14220.0)	(25.0, 26939.0)	(26.0, 44903.0)	(27.0, 66834.0)	(28.0, 94903.0)	(29.0, 129796.0)	(30.0, 172718.0)	(31.0, 225325.0)	(32.0, 292488.0)	(33.0, 390329.0)	(34.0, 540688.0)	(35.0, 791978.0)	(36.0, 1449556.0)	(37.0, 3795662.0)	(38.0, 4261546.0)	(39.0, 897191.0)	(40.0, 1903.0)	
ERR1797970_1_paired	(21.0, 13.0)	(22.0, 74.0)	(23.0, 249.0)	(24.0, 931.0)	(25.0, 3429.0)	(26.0, 11446.0)	(27.0, 30680.0)	(28.0, 65811.0)	(29.0, 115698.0)	(30.0, 176428.0)	(31.0, 245810.0)	(32.0, 329711.0)	(33.0, 442867.0)	(34.0, 616650.0)	(35.0, 916328.0)	(36.0, 1642532.0)	(37.0, 4103452.0)	(38.0, 5632779.0)	(39.0, 507891.0)	(40.0, 835.0)			
ERR1797970_2_paired	(19.0, 13.0)	(20.0, 104.0)	(21.0, 649.0)	(22.0, 2649.0)	(23.0, 7431.0)	(24.0, 16467.0)	(25.0, 30865.0)	(26.0, 50597.0)	(27.0, 75373.0)	(28.0, 106359.0)	(29.0, 145262.0)	(30.0, 191979.0)	(31.0, 250310.0)	(32.0, 323750.0)	(33.0, 430325.0)	(34.0, 595042.0)	(35.0, 869157.0)	(36.0, 1574674.0)	(37.0, 4160959.0)	(38.0, 4947193.0)	(39.0, 1061935.0)	(40.0, 2521.0)	
ERR1797971_1_paired	(20.0, 3.0)	(21.0, 7.0)	(22.0, 62.0)	(23.0, 205.0)	(24.0, 866.0)	(25.0, 3299.0)	(26.0, 10894.0)	(27.0, 29242.0)	(28.0, 62649.0)	(29.0, 110459.0)	(30.0, 169696.0)	(31.0, 237151.0)	(32.0, 317746.0)	(33.0, 424671.0)	(34.0, 594494.0)	(35.0, 884623.0)	(36.0, 1579077.0)	(37.0, 3919921.0)	(38.0, 5375974.0)	(39.0, 464564.0)	(40.0, 735.0)		
ERR1797971_2_paired	(18.0, 1.0)	(19.0, 13.0)	(20.0, 105.0)	(21.0, 563.0)	(22.0, 2366.0)	(23.0, 7136.0)	(24.0, 16095.0)	(25.0, 30803.0)	(26.0, 50440.0)	(27.0, 75125.0)	(28.0, 106085.0)	(29.0, 143956.0)	(30.0, 189822.0)	(31.0, 246176.0)	(32.0, 318475.0)	(33.0, 421696.0)	(34.0, 580872.0)	(35.0, 848269.0)	(36.0, 1551577.0)	(37.0, 4028468.0)	(38.0, 4619814.0)	(39.0, 946531.0)	(40.0, 1950.0)
ERR1797972_1_paired	(20.0, 2.0)	(21.0, 14.0)	(22.0, 43.0)	(23.0, 194.0)	(24.0, 829.0)	(25.0, 3117.0)	(26.0, 10417.0)	(27.0, 28056.0)	(28.0, 59526.0)	(29.0, 105685.0)	(30.0, 162078.0)	(31.0, 227844.0)	(32.0, 306662.0)	(33.0, 412173.0)	(34.0, 577929.0)	(35.0, 865961.0)	(36.0, 1618180.0)	(37.0, 4040503.0)	(38.0, 4929998.0)	(39.0, 546635.0)	(40.0, 844.0)		
ERR1797972_2_paired	(19.0, 13.0)	(20.0, 77.0)	(21.0, 625.0)	(22.0, 2581.0)	(23.0, 7227.0)	(24.0, 15994.0)	(25.0, 29799.0)	(26.0, 49172.0)	(27.0, 73398.0)	(28.0, 104304.0)	(29.0, 141807.0)	(30.0, 186604.0)	(31.0, 240710.0)	(32.0, 308459.0)	(33.0, 404526.0)	(34.0, 550999.0)	(35.0, 790662.0)	(36.0, 1363262.0)	(37.0, 3414800.0)	(38.0, 5181100.0)	(39.0, 1029102.0)	(40.0, 1469.0)	
ERR1797973_1_paired	(19.0, 1.0)	(20.0, 2.0)	(21.0, 16.0)	(22.0, 63.0)	(23.0, 221.0)	(24.0, 737.0)	(25.0, 3072.0)	(26.0, 10288.0)	(27.0, 27698.0)	(28.0, 58684.0)	(29.0, 102773.0)	(30.0, 158013.0)	(31.0, 220930.0)	(32.0, 296751.0)	(33.0, 400426.0)	(34.0, 559005.0)	(35.0, 837012.0)	(36.0, 1567823.0)	(37.0, 3981505.0)	(38.0, 5023213.0)	(39.0, 582639.0)	(40.0, 878.0)	
ERR1797973_2_paired	(19.0, 8.0)	(20.0, 85.0)	(21.0, 556.0)	(22.0, 2464.0)	(23.0, 6843.0)	(24.0, 15089.0)	(25.0, 27954.0)	(26.0, 46834.0)	(27.0, 69638.0)	(28.0, 97828.0)	(29.0, 134070.0)	(30.0, 177404.0)	(31.0, 229954.0)	(32.0, 296000.0)	(33.0, 388718.0)	(34.0, 531679.0)	(35.0, 771962.0)	(36.0, 1329685.0)	(37.0, 3407227.0)	(38.0, 5246096.0)	(39.0, 1050185.0)	(40.0, 1471.0)	
ERR1797974_1_paired	(20.0, 1.0)	(21.0, 11.0)	(22.0, 35.0)	(23.0, 178.0)	(24.0, 676.0)	(25.0, 2629.0)	(26.0, 8685.0)	(27.0, 23396.0)	(28.0, 51665.0)	(29.0, 91520.0)	(30.0, 143526.0)	(31.0, 202548.0)	(32.0, 273721.0)	(33.0, 370310.0)	(34.0, 516345.0)	(35.0, 771427.0)	(36.0, 1432751.0)	(37.0, 3587479.0)	(38.0, 4530641.0)	(39.0, 535761.0)	(40.0, 822.0)		
ERR1797974_2_paired	(18.0, 1.0)	(19.0, 14.0)	(20.0, 100.0)	(21.0, 652.0)	(22.0, 2445.0)	(23.0, 7043.0)	(24.0, 15546.0)	(25.0, 28597.0)	(26.0, 47275.0)	(27.0, 70574.0)	(28.0, 99242.0)	(29.0, 134351.0)	(30.0, 176175.0)	(31.0, 225897.0)	(32.0, 288896.0)	(33.0, 375098.0)	(34.0, 507536.0)	(35.0, 729501.0)	(36.0, 1252923.0)	(37.0, 3110225.0)	(38.0, 4581026.0)	(39.0, 889803.0)	(40.0, 1207.0)
