Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1797969_1_paired	(1.0, 12.345546119018847)	(2.0, 4.235017848595028)	(3.0, 2.758094618112389)	(4.0, 2.119826562364723)	(5.0, 1.8161473976672886)	(6.0, 1.520022514262016)	(7.0, 1.360864048927624)	(8.0, 1.2410294186973183)	(9.0, 1.1233142998184316)	('>10', 17.525723071626885)	('>50', 7.429562804687937)	('>100', 13.672623170324222)	('>500', 4.285872474968469)	('>1k', 7.626618795601751)	('>5k', 2.5773152045418497)	('>10k+', 18.36242165078526)
ERR1797969_2_paired	(1.0, 14.052852935122386)	(2.0, 4.928527009388619)	(3.0, 3.2291080062726305)	(4.0, 2.462437249176946)	(5.0, 2.02765764451877)	(6.0, 1.6613354800346691)	(7.0, 1.5144083972000877)	(8.0, 1.2775665831055805)	(9.0, 1.226650510810967)	('>10', 17.57274032505112)	('>50', 6.468409168512765)	('>100', 11.801698863486255)	('>500', 3.033295523157016)	('>1k', 4.648960896389607)	('>5k', 2.020169160707875)	('>10k+', 22.07418224706454)
ERR1797970_1_paired	(1.0, 12.002385204623298)	(2.0, 4.053370012580434)	(3.0, 2.698358392021122)	(4.0, 2.096483150624166)	(5.0, 1.698994002106381)	(6.0, 1.4558257200057056)	(7.0, 1.3205165181287513)	(8.0, 1.1872801536768527)	(9.0, 1.0422597978674362)	('>10', 17.17811305999595)	('>50', 7.368470972141009)	('>100', 14.523208993721326)	('>500', 4.6199808439864345)	('>1k', 8.097850862269665)	('>5k', 2.6933481769300505)	('>10k+', 17.963554139321523)
ERR1797970_2_paired	(1.0, 13.693267652702456)	(2.0, 4.806274156310007)	(3.0, 3.0795816336553763)	(4.0, 2.432198016627711)	(5.0, 1.9358081792556343)	(6.0, 1.673381940333552)	(7.0, 1.50136856496867)	(8.0, 1.2384035847619594)	(9.0, 1.162308144145881)	('>10', 17.81190338391391)	('>50', 6.831522121269745)	('>100', 12.519992187520366)	('>500', 3.369728050699597)	('>1k', 5.032716317083364)	('>5k', 1.8824226869364586)	('>10k+', 21.029123379815378)
ERR1797971_1_paired	(1.0, 12.289074400554108)	(2.0, 4.0646396545130825)	(3.0, 2.6180083142769424)	(4.0, 2.0552972382821184)	(5.0, 1.7507074172463815)	(6.0, 1.4616487181144695)	(7.0, 1.2688442618789542)	(8.0, 1.144993511035066)	(9.0, 0.9882300598362217)	('>10', 16.755168215251917)	('>50', 7.136498054238782)	('>100', 14.170165402303992)	('>500', 4.499442495439686)	('>1k', 8.060378041651141)	('>5k', 2.7484396153852493)	('>10k+', 18.988464599991893)
ERR1797971_2_paired	(1.0, 13.795124356709728)	(2.0, 4.779471391260817)	(3.0, 3.1432677140367593)	(4.0, 2.3900546821831967)	(5.0, 1.939265351978318)	(6.0, 1.6134223478007728)	(7.0, 1.4144137830518855)	(8.0, 1.2584982871424977)	(9.0, 1.1302249661365358)	('>10', 17.181638771821525)	('>50', 6.626392168689716)	('>100', 12.24035588018601)	('>500', 3.2430541866743434)	('>1k', 4.972821892567813)	('>5k', 2.0542345931533066)	('>10k+', 22.217759626606753)
ERR1797972_1_paired	(1.0, 12.86589422123629)	(2.0, 4.175272200249789)	(3.0, 2.790200837856591)	(4.0, 2.200197582068768)	(5.0, 1.8050226754134042)	(6.0, 1.640859125177355)	(7.0, 1.386864571532844)	(8.0, 1.2634071045962907)	(9.0, 1.1152544935514308)	('>10', 19.61260034665564)	('>50', 8.444095487971284)	('>100', 18.60568836003211)	('>500', 6.412839592915484)	('>1k', 10.979969155945616)	('>5k', 2.2595030867462476)	('>10k+', 4.442331158050846)
ERR1797972_2_paired	(1.0, 15.036460689189626)	(2.0, 5.2946029076283505)	(3.0, 3.4741212300908604)	(4.0, 2.638374658372341)	(5.0, 2.184309816876548)	(6.0, 1.8168056624047715)	(7.0, 1.6108561807581991)	(8.0, 1.4212641154204781)	(9.0, 1.3546032908358394)	('>10', 20.62041966373272)	('>50', 8.4203793451294)	('>100', 17.106138761012314)	('>500', 5.690557553222746)	('>1k', 9.123834996107218)	('>5k', 1.898086546048329)	('>10k+', 2.309184583170172)
ERR1797973_1_paired	(1.0, 12.682415550806772)	(2.0, 4.124006015371997)	(3.0, 2.741594486054853)	(4.0, 2.1568611431802873)	(5.0, 1.8399086143386374)	(6.0, 1.5973403159647972)	(7.0, 1.3844562171159842)	(8.0, 1.2720730142431067)	(9.0, 1.1324298155319117)	('>10', 19.117604798448067)	('>50', 8.374401535398441)	('>100', 18.327568369997856)	('>500', 6.568674109717765)	('>1k', 11.18440458248038)	('>5k', 2.7159048757117725)	('>10k+', 4.7803565556373195)
ERR1797973_2_paired	(1.0, 14.432727999615292)	(2.0, 5.234382130909018)	(3.0, 3.403938199553099)	(4.0, 2.768879794933064)	(5.0, 2.2143494158204238)	(6.0, 1.9166736055371891)	(7.0, 1.5904206615841858)	(8.0, 1.483971821207396)	(9.0, 1.3046211593466288)	('>10', 20.705743052829735)	('>50', 8.407346832587505)	('>100', 17.123534882143115)	('>500', 5.492942863271432)	('>1k', 9.018066698305198)	('>5k', 2.658391339018262)	('>10k+', 2.24400954333848)
ERR1797974_1_paired	(1.0, 14.071674144107526)	(2.0, 4.552554451391801)	(3.0, 3.1048029419939183)	(4.0, 2.3945755144750174)	(5.0, 1.9760524293479236)	(6.0, 1.6902352844422592)	(7.0, 1.4844886149963)	(8.0, 1.3514703207358554)	(9.0, 1.1721961238213514)	('>10', 19.731617197207584)	('>50', 8.433345542763321)	('>100', 18.12447222762987)	('>500', 6.067474024691461)	('>1k', 9.91315388609443)	('>5k', 2.499151519064661)	('>10k+', 3.4327357772365943)
ERR1797974_2_paired	(1.0, 16.518713432692405)	(2.0, 5.833620593314127)	(3.0, 3.715697529673441)	(4.0, 2.8451333489041275)	(5.0, 2.2545057584132335)	(6.0, 1.9657810412527768)	(7.0, 1.71199634085848)	(8.0, 1.4930834186627595)	(9.0, 1.3571496527570523)	('>10', 21.110511536858237)	('>50', 8.383054994041458)	('>100', 16.063039437583196)	('>500', 5.189358931957787)	('>1k', 8.188513812475604)	('>5k', 1.6784533284688201)	('>10k+', 1.691386842086523)
