Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR1797969_1_paired	ERR1797969_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13206103.0	1.3 Gbp	0.0	36-100	43.0	18.084958666840826	99.6975802399845	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
ERR1797969_2_paired	ERR1797969_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13206103.0	1.3 Gbp	0.0	36-100	42.0	20.470574357276327	99.34282486665445	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR1797970_1_paired	ERR1797970_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14843614.0	1.4 Gbp	0.0	36-100	42.0	17.547070564762247	99.73191495009235	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
ERR1797970_2_paired	ERR1797970_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14843614.0	1.4 Gbp	0.0	36-100	41.0	19.98436674384296	99.34046216777128	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR1797971_1_paired	ERR1797971_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14186338.0	1.4 Gbp	0.0	36-100	43.0	17.766258537534103	99.71415857989567	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
ERR1797971_2_paired	ERR1797971_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14186338.0	1.4 Gbp	0.0	36-100	42.0	20.018232818987293	99.27778127096647	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR1797972_1_paired	ERR1797972_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13896690.0	1.3 Gbp	0.0	36-100	41.0	18.762032461467708	99.72221205193468	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797972_2_paired	ERR1797972_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13896690.0	1.3 Gbp	0.0	36-100	40.0	22.06694993717912	99.27670049486605	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR1797973_1_paired	ERR1797973_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13831750.0	1.3 Gbp	0.0	36-100	41.0	18.504678291529476	99.75080441737308	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797973_2_paired	ERR1797973_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13831750.0	1.3 Gbp	0.0	36-100	40.0	21.468347154777362	99.35446671606991	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR1797974_1_paired	ERR1797974_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12544127.0	1.2 Gbp	0.0	36-100	41.0	20.389268930138773	99.73056136150407	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797974_2_paired	ERR1797974_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12544127.0	1.2 Gbp	0.0	36-100	40.0	24.04185868275688	99.21688910675091	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
